Developer,City,Administrative division,Country,Est.,"Notable games, series or franchises",Notes
GungHo Online Entertainment,"Chiyoda, Tokyo",,Japan,1998,Puzzle & Dragons series,Developer/publisher
Gust,Nagano,,Japan,1993,Atelier seriesFairy Tail,Became a division of Koei Tecmo Games in 2014
Haemimont Games,Sofia,,Bulgaria,1997,Tropico 5,
HAL Laboratory,"Chiyoda, Tokyo",,Japan,1980,Kirby series Earthbound/Mother seriesPokémon Snap,Developer closely associated with Nintendo
Halfbrick,Brisbane,Queensland,Australia,2001,Fruit Ninja seriesJetpack Joyride,Mobile game developer/publisher
Hanaho,Cerritos,California,United States,1992,,
h.a.n.d.,Sapporo,,Japan,1993,Aikatsu! seriesKingdom Hearts 358/2 DaysDisney Magical World series,
Hangar 13,Novato,California,United States,2014,Mafia III,Subsidiary of 2K Games
Harebrained Schemes,Seattle,Washington,United States,2011,Shadowrun ReturnsShadowrun: DragonfallShadowrun: Hong Kong,Acquired by Paradox Interactive in 2018
Harmonix Music Systems,Cambridge,Massachusetts,United States,1995,Guitar Hero seriesRock Band seriesDance Central series,Former subsidiary of Viacom
Headstrong Games,London,England,United Kingdom,2000,Battalion Wars seriesArt Academy series,Subsidiary of Kuju Entertainment; defunct in 2017
Heartbeat,Tokyo,,Japan,1992,Dragon Quest VI–VII,
HB Studios,Lunenburg,Nova Scotia,Canada,2000,The Golf Club series,
HeroCraft,Kaliningrad,,Russia,2001,"Warhammer 40,000: Space Wolf",
High Impact Games,Burbank,California,United States,2003,Ratchet & Clank: Size MattersSecret Agent ClankJak and Daxter: The Lost Frontier,Founded by former employees of Insomniac Games & Naughty Dog
High Moon Studios,San Diego,California,United States,2005,Transformers: War for Cybertron seriesDeadpool,Subsidiary of Activision
High Voltage Software,Hoffman Estates,Illinois,United States,1993,The Conduit series,
Hoplon Infotainment,Florianópolis,Santa Catarina,Brazil,2004,Taikodom,
Hothead Games,Vancouver,British Columbia,Canada,2006,DeathSpankSwarm,Founded by former employees of Radical Entertainment
Housemarque,Helsinki,,Finland,1995,Super Stardust,
Hudson Soft,Tokyo,,Japan,1973,Bomberman seriesAdventure Island seriesFar East of Eden seriesMomotaro Dentetsu seriesMario Party series,Developer/publisher; acquired and dissolved by Konami
Human Entertainment,Tokyo,,Japan,1983,Fire Pro Wrestling seriesFormation Soccer seriesTwilight Syndrome series,
Human Head Studios,Madison,Wisconsin,United States,1997,RunePrey,
Humongous Entertainment,Bothell,Washington,United States,1992,Fatty Bear's Birthday SurprisePutt-Putt seriesFreddi Fish seriesPajama Sam seriesSpy Fox seriesBackyard Sports series,Former subsidiary of Infogrames; closed in 2006; their assets and brand were acquired by Tommo and relaunched in 2013
Hyperion Entertainment,Brussels,,Belgium,1999,,
Ice-Pick Lodge,Moscow,,Russia,2002,Pathologic series,
id Software,Mesquite,Texas,United States,1991,Wolfenstein seriesDoom seriesQuake series,"Acquired by ZeniMax Media on June 24, 2009"
Idea Factory,"Shibuya, Tokyo",,Japan,1994,Amnesia series,Developer/publisher
Idol Minds,Westminster,Colorado,United States,1997,Cool Boarders 3–4PainNeopets:  Darkest FaerieRally Cross,
Imageepoch,Tokyo,,Japan,2005,Luminous Arc seriesFate/Extra series,Defunct in 2016
Image & Form,Gothenburg,,Sweden,1997,SteamWorld series,Subsidiary of Thunderful
Imagineer,Tokyo,,Japan,1986,Shape Boxing series,
Infinity Ward,Woodland Hills,California,United States,2002,Call of Duty series,Acquired by Activision in 2003.
Infocom,Cambridge,Massachusetts,United States,1979,Zork seriesPlanetfall seriesThe Hitchhiker's Guide to the GalaxyLeather Goddesses of Phobos,Closed in 1989.
Incognito Entertainment,Salt Lake City,Utah,United States,1999,Twisted Metal seriesWarhawk (2007),Formed by former employees of SingleTrac; subsidiary of SCE Worldwide Studios; defunct in 2009
Incredible Technologies,Arlington Heights,Illinois,United States,1985,Golden Tee Golf,"Defunct in 2016; arcade game designer, arcade game manufacturer"
indieszero,Musashino,,Japan,1997,Cooking Guide: Can't Decide What to Eat?,
Innerloop Studios,Oslo,,Norway,1996,Project I.G.I. series,Defunct in 2003
Insomniac Games,Burbank,California,United States,1994,Spyro the Dragon seriesRatchet & Clank seriesResistance seriesSunset OverdriveSpider-Man (2018),Acquired by Sony Interactive Entertainment in 2019 as a division of SIE Worldwide Studios
Intelligent Systems,Tokyo,,Japan,1986,Fire Emblem franchiseAdvance Wars seriesPaper Mario seriesPuzzle League series,Developer closely associated with Nintendo
Interplay Entertainment,Beverly Hills,California,United States,1983,Earthworm Jim seriesClayFighter seriesWastelandFallout seriesThe Bard's Tale series,Developer/publisher
Introversion Software,London,England,United Kingdom,2002,DarwiniaDEFCON,
inXile Entertainment,Newport Beach,California,United States,2002,Wasteland 2The Bard's Tale IV: Barrows Deep,Founded by one of Interplay Entertainment founders; acquired by Microsoft Studios in 2018
IO Interactive,Copenhagen,,Denmark,1998,Hitman seriesKane & Lynch series,"Subsidiary of Square Enix until 2017 when they dropped IO, they then became independent"
Ion Storm,Dallas,Texas,United States,1996,DaikatanaAnachronox,Shut down in 2001; subsidiary of Eidos Interactive
Ion Storm Austin,Austin,Texas,United States,1997,Deus ExThief: Deadly Shadows,Shut down in 2005; subsidiary of Eidos Interactive
Irem,Hakusan,,Japan,1974,R-Type seriesDisaster Report series,Subsidiary of Eizo
Iron Galaxy Studios,Chicago,Illinois,United States,2008,DivekickBorderlands 2 (PSVita),
Iron Lore Entertainment,Maynard,Massachusetts,United States,2000,"Titan Quest seriesWarhammer 40,000: Dawn of War – Soulstorm",Defunct in 2008
Irrational Games,Quincy,Massachusetts,United States,1996,System Shock 2Freedom Force seriesBioShock series,Subsidiary of 2K Games; defunct in 2017. Their main employees moved to Ghost Story Games.
Ivory Tower,Lyon,,France,2007,The Crew series,Subsidiary of Ubisoft;[21] founded by former employees of Eden Games
Jadestone Group,Stockholm,,Sweden,2000,,"Subsidiary of WMS Industries; Online game developer, mobile game developer"
Jagex,Cambridge,England,United Kingdom,2001,RuneScape,Subsidiary of Shanghai Fukong Interactive Entertainment (formerly Zhongji Holding); online game developer
Jaleco,Tokyo,,Japan,1974,Idol Janshi Suchie-Pai series,Acquired by Game Yarou in 2009 and defunct in 2014
Jam City,Los Angeles,California,United States,2007,Harry Potter: Hogwarts Mystery,Subsidiary of Netmarble;[22] mobile game developer
Javaground,Irvine,Massachusetts,United States,2001,God of War: Betrayal,Mobile game developer
Jupiter,Kyoto,,Japan,1996,Picross seriesPokémon Pinball series,
JV Games,Las Vegas,Nevada,United States,1999,,
Kairosoft,Tokyo,,Japan,1996,Game Dev Story,
Kalypso Media,Worms,,Germany,2006,Tropico series,Developer/publisher
Kaos Studios,New York City,New York,United States,2006,Frontlines: Fuel of WarHomefront,Subsidiary of THQ
Keen Software House,Prague,,Czech Republic,2010,Space Engineers,
Kesmai,Charlottesville,Virginia,United States,1981,Island of Kesmai,Subsidiary of Electronic Arts; closed in 2001
Kiloo Games,Aarhus,,Denmark,2000,Subway SurfersFrisbee Forever,Mobile game developer
King,Stockholm,,Sweden,2003,Candy Crush series,Subsidiary of Activision Blizzard; Mobile game developer
Koei Tecmo Games (formerly Koei),Ashikaga,,Japan,1978,Warriors franchise Dynasty Warriors series Samurai Warriors series Warriors Orochi series Trilogy of Histories franchise  Nobunaga's Ambition series Romance of the Three Kingdoms series Genghis Khan series Ninja Gaiden seriesDead or Alive franchiseNioh seriesHaruka seriesFire Emblem: Three Houses,Developer/publisher; subsidiary of Koei Tecmo Holdings
KOG Studios,Seoul,,South Korea,2000,Elsword,
Kojima Productions,Tokyo,,Japan,2005,Death Stranding,
Konami,Tokyo MidtownMinato,,Japan,1969,Gradius seriesContra seriesMetal Gear seriesCastlevania seriesPro Evolution Soccer seriesSilent Hill seriesTwinBee seriesBemani seriesPower Pros seriesProfessional Baseball Spirits seriesMystical Ninja seriesTokimeki Memorial seriesLovePlus seriesSuikoden series,Developer/publisher
Kongzhong,Beijing,,China,2002,,
Krome Studios,Brisbane,Queensland,Australia,1999,The Legend of Spyro: A New Beginning,Defunct
Krome Studios Melbourne,Melbourne,Victoria,Australia,1988,Horace series,Defunct
Kuju Entertainment,Shalford,England,United Kingdom,1998,Microsoft Train Simulator,Subsidiary of Catalis SE
Kunos Simulazioni,Rome,,Italy,2005,Assetto Corsa series,Subsidiary of Digital Bros
Kush Games,Camarillo,California,United States,1998,,
Kuma Reality Games,New York City,New York,United States,2003,,
Kylotonn,Paris,,France,2002,WRC 5–V-Rally 4,Acquired by Bigben Interactive (latterly Nacon) in 2018[23]
Larian Studios,Oudenaarde,,Belgium,1996,Divinity seriesBaldur's Gate III,
Legacy Interactive,Los Angeles,California,United States,1998,Emergency Room series,
Legend Entertainment,Chantilly,Virginia,United States,1989,Spellcasting seriesSuperhero League of HobokenThe Wheel of TimeUnreal II,Closed in 2004.
Legendo Entertainment,Gothenburg,,Sweden,2004,,Developer/publisher
Level-5,Fukuoka,,Japan,1998,Dark Cloud seriesRogue GalaxyProfessor Layton seriesInazuma Eleven seriesNi no Kuni seriesYo-Kai Watch franchiseFantasy Life seriesThe Snack WorldDragon Quest VIII–IX,Developer/publisher and founded by Akihiro Hino
Lift London,London,England,United Kingdom,2012,videogame developer for Microsoft Hololens,Subsidiary by Microsoft Studios in 2018
Limbic Entertainment,Langen,,Germany,2002,Might & Magic X: LegacyMight & Magic Heroes VIITropico 6,
Lionhead Studios,Guildford,England,United Kingdom,1997,Black & White seriesFable series,Closed by Microsoft Studios in 2016
Liquid Entertainment,Pasadena,California,United States,1999,Battle Realms,Dissolved in 2018[24]
Little Green Men Games,Zagreb,,Croatia,2006,Starpoint Gemini,
LK Avalon,"Świlcza, Rzeszów",,Poland,1989,Hans KlossSchizm: Mysterious Journey,
Llamasoft,Reading,England,United Kingdom,1982,,
Linden Lab,San Francisco,California,United States,1999,Second Life,
Locomotive Games,Santa Clara,California,United States,1997,Jet Moto 3,Defunct in 2008
Looking Glass Studios,Cambridge,Massachusetts,United States,1990,Ultima Underworld seriesSystem Shock seriesThief series,
Love-de-Lic,Tokyo,,Japan,1995,Moon: Remix RPG Adventure,Formed by former employees of Square
LucasArts,San Francisco,California,United States,1982,Maniac MansionSam & Max Hit the RoadDay of the TentacleMonkey Island seriesThe DigFull ThrottleGrim FandangoStar Wars: The Force Unleashed seriesStar Wars: Battlefront series,"Publisher and former developer; closed as developer of April 3, 2013 by Disney"
Luma Arcade,Johannesburg,,South Africa,2006,,Division of Luma Animation
Luxoflux,Santa Monica,California,United States,1998,True Crime series,
MachineGames,Uppsala,,Sweden,2009,Wolfenstein series,Founded by former employees of Starbreeze Studios; acquired by ZeniMax Media in 2010
Magenta Software,Liverpool,England,United Kingdom,1994,Buzz! Junior series,
MAGES.,"Shibuya, Tokyo",,Japan,2005,Science Adventure franchise Steins;Gate series Robotics;Notes series Chaos;Child series,Acquired by COLOPL in 2020.[25] Former subsidiary of Dwango.
Majesco Entertainment,Edison,New Jersey,United States,1986,,"Defunct December 8, 2016"
Marvelous,"Shibuya, Tokyo",,Japan,1997,Senran Kagura seriesSoul Sacrifice series Story of Seasons franchise  Rune Factory series Fate/Extella seriesKandagawa Jet GirlsDaemon X MachinaSuper Monkey Ball: Banana Splitz,Developer/publisher
Massive Entertainment,Malmö,,Sweden,1997,Ground ControlWorld In ConflictTom Clancy's The Division series,Founded in 1997; former subsidiary of Activision and acquired by Ubisoft in 2008
Masthead Studios,Sofia,,Bulgaria,2005,Earthrise,
Matrix Software,Tokyo,,Japan,1994,Omega Labyrinth seriesBrigandine: The Legend of Runersia,
Maxis,Emeryville,California,United States,1987,The Sims seriesSimCity series,Became a subsidiary of Electronic Arts in 1997
Mean Hamster Software,Deer Park,Washington,United States,1985,,
Media Molecule,Guildford,England,United Kingdom,2006,LittleBigPlanet seriesTereaway,Founded by former employees of Lionhead Studios; division of SIE Worldwide Studios since 2010
Media.Vision,Tokyo,,Japan,1993,Wild Arms seriesChaos Rings seriesDigimon Story: Cyber SleuthSummon Night 6,
Mediatonic,London,England,United Kingdom,2005,Robot Unicorn AttackFable Fortune,
MegaZebra,Munich,,Germany,2009,,
Mercury Steam,Madrid,,Spain,2002,Castlevania: Lords of Shadow series,
Metropolis Software,Warsaw,,Poland,1992,TeenagentGorky 17Infernal,Studio was bought by CD Projekt in 2008 and closed in 2009.
MicroProse Software,Hunt Valley,Maryland,United States,1982,Silent ServiceGunshipPirates!Railroad TycoonCivilization series,
Microsoft Games Studio,Redmond,Washington,United States,2013,SolitaireMahjongMinesweeperWordament,Subsidiary by Microsoft Studios
Microsoft,Redmond,Washington,United States,2013,SolitaireMahjongMinesweeperWordament,Subsidiary by Microsoft Studios
Midway Games,Chicago,Illinois,United States,1988,Mortal Kombat series,"As of 2012, Midway is a corporation existing under Delaware law subject to a Chapter 11 bankruptcy liquidation plan"
Midway Studios – Newcastle,Gateshead,England,United Kingdom,1996,Test Drive 4–6,Defunct in 2009
miHoYo,Shanghai,,China,2012,Guns GirlHonkai Impact 3rdGenshin Impact,"Developer and publisher; founded by Cai Haoyu, Liu Wei, and Luo Yuhao, three former students from Shanghai Jiao Tong University"
Milestone,"Suginami, Tokyo",,Japan,2003,Chaos Field series,
Milestone srl,Milan,,Italy,1996,Superbike seriesMotoGP seriesWRC 1–4MXGP seriesRide series,Acquired by Koch Media in 2019
Mimimi Games,Munich,,Germany,2011,Desperados III,
Mistwalker,Tokyo,,Japan,2004,Blue Dragon,
Mitchell Corporation,Tokyo,,Japan,1960,PolariumPuzz Loop series,
MLB Advanced Media,New York City,New York,United States,2000,R.B.I. Baseball 18,
Mode 7 Games,Brighton,East Sussex,United Kingdom,2005,Frozen Synapse seriesTokyo 42,Developer and publisher; publisher-only since 2019.
Mojang AB,Stockholm,,Sweden,2009,MinecraftScrollsCobalt,"Former Indie developer and publisher; acquired by Microsoft on September 15, 2014"
Monolith Productions,Kirkland,Washington,United States,1994,F.E.A.R. seriesMiddle-earth: Shadow of Mordor Middle-earth: Shadow of War,Acquired by Warner Bros. Interactive Entertainment in 2004
Monolith Soft,Tokyo,,Japan,1999,Xenosaga seriesXenoblade Chronicles seriesProject X Zone series,Founded by Tetsuya Takahashi and former subsidiary of Namco; acquired by Nintendo as a first-party developer and subsidiary in 2007
Monster Games,Northfield,Minnesota,United States,1996,NASCAR Heat series,
Monte Cristo,Paris,,France,1995,City Life seriesCities XL,Defunct in 2010
Moon Studios,Vienna,,Austria,2010,Ori series,
MTO,Yokohama,,Japan,1996,GT Advance series,
Mythic Entertainment,Fairfax,Virginia,United States,1995,Dark Age of Camelot,Acquired by Electronic Arts in 2006 and closed in 2014
Nadeo,Paris,,France,2000,TrackMania,Acquired by Ubisoft in 2009
Namco Tales Studio,Tokyo,,Japan,1986,Tales series,Originally it was division or subsidiary of Telenet Japan but it became a jointly-owned company of Namco and Telenet Japan
Namco,Tokyo,,Japan,1986,Tales series,Originally it was division or subsidiary of Telenet Japan but it became a jointly-owned company of Namco and Telenet Japan
Namco Bandai,Tokyo,,Japan,1986,Tales series,Originally it was division or subsidiary of Telenet Japan but it became a jointly-owned company of Namco and Telenet Japan
Nanobit,Zagreb,,Croatia,2008,,
NAPS team,Messina,,Italy,1993,Gekido series,NAPS team is the oldest Italian development studio
Natsume,"Shinjuku, Tokyo",,Japan,1987,Harvest Moon seriesMetabots series,
NaturalMotion,London,England,United Kingdom,2001,Backbreaker series,Acquired by Zynga
Naughty Dog,Santa Monica,California,United States,1986,Crash Bandicoot seriesJak and Daxter seriesUncharted seriesThe Last of Us series,Division of SIE Worldwide Studios since 2001
NCSoft,Seoul,,South Korea,1997,AionLineage seriesBlade & Soul,Online game developer/publisher
NDcube,Tokyo,,Japan,2000,Wii Party seriesMario Party seriesClubhouse Games: 51 Worldwide Classics,Subsidiary of Nintendo
NDOORS Corporation,Seoul,,South Korea,1999,Atlantica Online,Developer/publisher; subsidiary of Nexon; merged into Nexon Red in 2017[26]
Neko Entertainment,Montreuil-sous-Bois,,France,1998,CocotoThe Mysterious Cities of Gold: Secret PathsKung Fu RabbitPuddle,Developer/publisher; defunct in 2017
Nerve Software,Richardson,Texas,United States,1999,,
NetDevil,Louisville,Colorado,United States,1997,LEGO Universe,
NetDragon Websoft,Fuzhou,,China,1999,Disney Fantasy Online,
NetEase,Guangzhou,,China,1997,Fantasy Westward Journey,"Developer, publisher, and online services company"
NetherRealm Studios,Chicago,Illinois,United States,2010,Mortal Kombat seriesInjustice: Gods Among Us Injustice 2,Successor to Midway Games; Subsidiary of Warner Bros. Interactive Entertainment
Neverland,Tokyo,,Japan,1993,Rune Factory series,
Neversoft,Woodland Hills,California,United States,1994,Guitar Hero seriesTony Hawk seriesGun,Acquired by Activision in 1999; merged into Infinity Ward in 2014
Nevosoft,St. Petersburg,,Russia,2002,,
New World Computing,Agoura Hills,California,United States,1984,Might and Magic franchise Heroes of Might and Magic series,
New World Interactive,Denver,Colorado,United States,2010,Insurgency,Acquired by Embracer Group in 2020[1]
NexonNexon Korea,TokyoSeoul,,JapanSouth Korea,20021994,MapleStoryMabinogiVindictusAtlantica Online,"Online video game developer, publisher and distributor; moved its headquarters from Korea to Japan."
Next Level Games,Vancouver,British Columbia,Canada,2002,Super Mario StrikersLuigi's Mansion: Dark MoonLuigi's Mansion 3Spider-Man: Friend or Foe,
Niantic,San Francisco,California,United States,2010,IngressPokémon Go,
Nibris,Kraków,,Poland,2000,,
Nicalis,Santa Ana,California,United States,2007,VVVVVVCave StoryNightSky1001 SpikesThe Binding of Isaac: RebirthCrystal Crisis,Indie developer/publisher
Nihon Falcom,Tokyo,,Japan,1981,Ys seriesDragon Slayer series The Legend of Heroes franchise  Xanadu series The Legend of Heroes: Trails of Cold Steel series Zwei!!Zwei: The Ilvard InsurrectionBrandishVantage MasterGurumin: A Monstrous Adventure,Developer/publisher
Nikita Online,St. Petersburg,,Russia,1991,,
Nimble Giant Entertainment,Buenos Aires,,Argentina,2002,Regnum OnlineMaster of Orion: Conquer the Stars,Acquired by Embracer Group in 2020.[18]
Ninjabee,Orem,Utah,United States,2005,,Division of Wahoo Studios
Ninja Theory,Cambridge,England,United Kingdom,2000,Heavenly SwordEnslaved: Odyssey to the WestDmC: Devil May CryHellblade: Senua's Sacrifice,Former Indie developer and publisher; acquired by Microsoft Studios in 2018
Nintendo,Kyoto,,Japan,1889,Super Mario franchiseThe Legend of Zelda franchisePokémon franchiseFire Emblem franchiseSplatoon seriesMetroid franchiseKid Icarus seriesPikmin seriesXenoblade Chronicles seriesAnimal Crossing seriesF-Zero seriesStar Fox seriesKirby franchiseMother seriesSuper Smash Bros. seriesTomodachi seriesBrain Age seriesWave Race series,First-party developer/publisher/console manufacturer
Nippon Ichi Software,Kakamigahara,,Japan,1991,Rhapsody: A Musical AdventureLa Pucelle: TacticsDisgaea seriesPhantom BraveGrimGrimoireHotaru no Nikki,Developer/publisher
Nival,St. Petersburg,,Russia,1996,Etherlords seriesBlitzkrieg seriesHeroes of Might and Magic V,
Nordeus,Belgrade,,Serbia,2009,Top Eleven Football Manager,Developer/publisher
NovaLogic,Agoura Hills,California,United States,1985,Delta Force seriesJoint Operations series,Their assets were acquired by THQ Nordic
Novarama,Barcelona,,Spain,2003,Invizimals series,
Now Production,Osaka,,Japan,1986,Mario Super SluggersSonic Riders,
Nude Maker,Tokyo,,Japan,2002,Steel Battalion seriesInfinite SpaceNightCry,Formed by former employees of Human Entertainment
n-Space,Orlando,Florida,United States,1994,"Heroes of RuinPort for various video games, include Call of Duty series",
Obsidian Entertainment,Irvine,California,United States,2004,Fallout New VegasNeverwinter Nights 2Dungeon Siege IIISouth Park: The Stick of TruthPillars of EternityThe Outer Worlds,Acquired by Microsoft Studios in 2018
Oddworld Inhabitants,San Luis Obispo,California,United States,1994,Oddworld series
Omega Force,Ashikaga,,Japan,1997,Warriors franchise Dynasty Warriors series Dynasty Warriors: Gundam series Samurai Warriors series Warriors Orochi series One Piece: Pirate Warriors series Hyrule Warriors Fire Emblem Warriors Dragon Quest Heroes seriesDragon Quest Builders 2Persona 5 Strikers,Division of Koei Tecmo Games
Origin Systems,Austin,Texas,United States,1983,Ultima seriesUltima OnlineWing Commander series,Acquired by Electronic Arts in 1992 and closed in 2004
OtherSide Entertainment,Boston,Massachusetts,United States,2013,Underworld AscendantSystem Shock 3,Founded by one of Looking Glass Studios founders.
Outfit7,Ljubljana,,Slovenia,2010,Talking Tom and Friends franchise,"Acquired by Zhejiang Jinke Entertainment Culture Co., Ltd. in 2017"
Outrage Entertainment,Ann Arbor,Michigan,United States,1996,Descent 3,Closed in 2004
Overkill Software,Stockholm,,Sweden,2009,Payday series,Acquired by Starbreeze Studios in 2012
Oxygen Studios,Croydon,England,United Kingdom,2006,King of Clubs,
Page 44 Studios,San Francisco,California,United States,1998,FreekstyleHigh School Musical 3: Senior Year DanceMadden NFL 11 iOSuDraw PictionaryWorld of Goo iOS,Subsidiary of Zynga; closed in 2011.
Pangea Software,Austin,Texas,United States,1987,,
People Can Fly,Warsaw,,Poland,2002,BulletstormPainkiller,
Project Sora,Tokyo,,Japan,2009,Kid Icarus: Uprising,Subsidiary of Nintendo; became defunct in 2012
Purple Lamp Studios,Vienna,,Austria,2018,SpongeBob SquarePants: Battle for Bikini Bottom – Rehydrated,Acquired by Embracer Group in 2020.[18]
Papaya Studio,Irvine,California,United States,1999,,
Project Soul,Tokyo,,Japan,1996,Soul series,Division of Bandai Namco Studios
Panther Games Pty Ltd,Canberra,,Australia,1985,Fire-BrigadeCommand Ops: Battles from the Bulge,
Paradox Development Studio,Stockholm,,Sweden,1995,Europa Universalis seriesHearts of Iron seriesCrusader Kings series,In-house development studio and subsidiary of Paradox Interactive
Parallax Software,Ann Arbor,Michigan,United States,1993,Descent series,Split into Volition and Outrage Entertainment
Pandemic Studios,Los Angeles,California,United States,1998,Star Wars: BattlefrontDestroy All Humans! seriesFull Spectrum WarriorMercenaries: Playground of DestructionThe Saboteur,Acquired by Electronic Arts in 2007 and closed in 2009.
Pendulo Studios,Madrid,,Spain,1993,Runaway series,
Penguin Software,Geneva,Illinois,United States,1978,Transylvania series,
Perfect World,Beijing,,China,2004,Perfect World series,Developer/publisher
Petroglyph,Las Vegas,Nevada,United States,2003,Star Wars: Empire at WarUniverse at War: Earth AssaultGrey Goo,
Phantagram,Seoul,,South Korea,1994,Kingdom Under Fire series,Acquired by Blueside in 2010[27]
Phenomic Game Development,Ingelheim am Rhein,,Germany,1997,SpellForce seriesBattleForgeLord of UltimaCommand and Conquer: Tiberium Alliances,Acquired by Electronic Arts in 2006; shut down in 2013
Pipeworks Studios,Eugene,Oregon,United States,1999,Godzilla: Destroy All Monsters MeleeDeadliest WarriorZumba Fitness,Subsidiary of Northern Pacific Group
Piranha Bytes,Essen,,Germany,1997,Gothic 1–3Risen seriesELEX,Acquired by THQ Nordic in 2019
Piranha Games,Vancouver,British Columbia,Canada,2000,MechWarrior 5MechWarrior OnlineBass Pro Shops: The StrikeDie Hard: Nakatomi Plaza,Acquired by Enad Global 7 in 2020.[3]
Pi Studios,Houston,Texas,United States,2002,Bomberman Live: Battlefest,
Pivotal Games,Bath,England,United Kingdom,2000,Conflict seriesThe Great Escape,
Pixel Federation,Bratislava,,Slovakia,2007,Galactic Junk League,Developer/Publisher
Playdom,San Francisco,California,United States,2009,,"Facebook, Myspace game developer Subsidiary of The Walt Disney Company; closed in 2016"
Playfish,London,England,United Kingdom,2007,The Sims Social,"Facebook, Myspace game developer Acquired by Electronic Arts; closed in 2013"
PlayFirst,San Francisco,California,United States,2004,,"Acquired by Glu Mobile in 2014; Casual game developer, publisher and portal"
Playground Games,Royal Leamington Spa,England,United Kingdom,2009,Forza Horizon seriesFable (2020),Acquired by Microsoft Studios in 2018
PlatinumGames,Osaka,,Japan,2006,MadWorldBayonetta seriesVanquishAnarchy ReignsMetal Gear Rising: RevengeanceThe Wonderful 101Star Fox ZeroNier: AutomataAstral Chain,"Successor to Clover Studio, and founded by Shinji Mikami, Atsushi Inaba, and Hideki Kamiya."
Polyphony Digital,Tokyo,,Japan,1998,Gran Turismo seriesTourist Trophy,Division of SIE Worldwide Studios
PopCap Games,Seattle,Washington,United States,2000,Bejeweled seriesPlants vs. Zombies seriesPeggle seriesZuma,"Casual game developer, publisher and portal; subsidiary of Electronic Arts since 2011"
Press Play,Copenhagen,,Denmark,2006,Max & the Magic MarkerMax: The Curse of Brotherhood,Former subsidiary of Microsoft Studios; defunct in March 2016
Psyonix,San Diego,California,United States,2001,Rocket LeagueXCOM: Enemy Unknown,Acquired by Epic Games in 2019
Punch Entertainment,Hanoi,,Vietnam,2005,,"Subsidiary of Evolable Asia [ja]; Casual games, social games developer"
Pyro Mobile,Madrid,,Spain,1996,Commandos series,Subsidiary of Zed Group; their assets were acquired by Kalypso Media[28]
Q Entertainment,Tokyo,,Japan,2003,Lumines series,Acquired by Sanyo Kasei Seisakusho in 2013 and the parent company was defunct in 2018.
Q-Games,Nakagyō-ku,,Japan,2001,Star Fox CommandPixelJunk seriesThe Tomorrow Children,
Quantic Dream,Paris,,France,1997,FahrenheitHeavy RainBeyond: Two SoulsDetroit: Become Human,
Quest Corporation,Tokyo,,Japan,1988,Ogre Battle series,The game development division was acquired by Square in 2002
Radical Entertainment,Vancouver,,Canada,1991,Prototype series,Shut down by Activision and dissolved in 2013[29]
Rage Games,Liverpool,England,United Kingdom,1992,Incoming series,Defunct in 2003
Rainbow Studios,Phoenix,Arizona,United States,1996,MX vs. ATV series,"Acquired by THQ, later closed by THQ"
Rare,Twycross,England,United Kingdom,1985,Battletoads seriesDonkey Kong Country seriesKiller Instinct seriesBanjo-Kazooie seriesDonkey Kong 64GoldenEye 007Conker's Bad Fur DayPerfect Dark seriesSea of Thieves,Successor to Ultimate Play the Game; second-party developer for Nintendo; turned; Acquired by Microsoft Studios in 2002 as a first-party developer
Raven Software,Middleton,Wisconsin,United States,1990,HereticHexenSingularityCall of Duty seriesStar Wars Jedi Knight II: Jedi OutcastSoldier of Fortune II: Double HelixMarvel: Ultimate Alliance,Acquired by Activision in 1997
Ready at Dawn,Irvine,California,United States,2003,DaxterThe Order: 1886DeformersLone Echo,Formed by former members of Naughty Dog and Blizzard Entertainment. Acquired by Facebook in 2020.[30]
Red Entertainment,Tokyo,,Japan,"1976 (as the Red Company), 2000 (as Red Entertainment)",Sakura Wars seriesGungrave series,Developer/publisher; acquired by Oizumi Corporation [ja] in 2014
Reality Pump Studios,Kraków,,Poland,1995,Two Worlds series,Division of TopWare Interactive
Realtime Associates,Los Angeles,California,United States,1986,,
Realtime Worlds,Dundee,Scotland,United Kingdom,2002,Crackdown,Closed in 2010
Rebellion Developments,Oxford,England,United Kingdom,1992,Aliens vs. Predator seriesSniper Elite series,
Rebellion Warwick,Leamington Spa,England,United Kingdom,2013,SkySaga: Infinite Isles,Formed by former employees of Blitz Games Studios; acquired by Rebellion Developments in 2018
RedLynx,Helsinki,,Finland,2000,Trials series,Subsidiary of Ubisoft
Red Thread Games,Oslo,,Norway,2012,Dreamfall Chapters: The Longest Journey,Founded by former employees of Funcom
Red Storm Entertainment,Cary,North Carolina,United States,1996,Tom Clancy's Ghost ReconTom Clancy's Rainbow Six,Acquired by Ubisoft in 2000
RedTribe (Tribalant),Melbourne,Victoria,Australia,2003,,
Reflexive Entertainment,Lake Forest,California,United States,1997,Airport Mania series,Subsidiary of Amazon.com
Relic Entertainment,Vancouver,British Columbia,Canada,1997,Company of Heroes seriesWarhammer 40000: Dawn of War seriesHomeworld series,Acquired by Sega in 2013
Remedy Entertainment,Espoo,,Finland,1995,Max Payne seriesAlan Wake seriesControl,
Respawn Entertainment,"Sherman Oaks, Los Angeles",California,United States,2010,TitanfallApex LegendsStar Wars Jedi: Fallen Order,Acquired by Electronic Arts in 2017.
